Exp.N,Hour,Treat,red.per,Cells
3,6,siControl,0.002538783,MP65
3,8,siControl,0.002959643,MP65
3,10,siControl,0.003388805,MP65
3,12,siControl,0.003870141,MP65
3,14,siControl,0.004326468,MP65
3,16,siControl,0.004760314,MP65
3,18,siControl,0.005020269,MP65
3,20,siControl,0.005477303,MP65
3,22,siControl,0.00555521,MP65
3,24,siControl,0.00578581,MP65
3,26,siControl,0.006022366,MP65
3,28,siControl,0.006303909,MP65
3,30,siControl,0.006618015,MP65
3,32,siControl,0.007023223,MP65
3,34,siControl,0.007406875,MP65
3,36,siControl,0.007667202,MP65
3,38,siControl,0.007877045,MP65
3,40,siControl,0.00806705,MP65
3,42,siControl,0.008459506,MP65
3,44,siControl,0.009063289,MP65
3,46,siControl,0.009086824,MP65
3,48,siControl,0.009419226,MP65
3,50,siControl,0.009700131,MP65
3,52,siControl,0.009899677,MP65
3,54,siControl,0.010401978,MP65
3,56,siControl,0.010317624,MP65
3,58,siControl,0.010642951,MP65
3,60,siControl,0.011005993,MP65
3,62,siControl,0.01127582,MP65
3,64,siControl,0.011143722,MP65
3,66,siControl,0.011295882,MP65
3,68,siControl,0.011610163,MP65
3,70,siControl,0.011613087,MP65
3,72,siControl,0.01201609,MP65
3,0,siCPT1A #1,0.012812071,MP65
3,2,siCPT1A #1,0.012397823,MP65
3,4,siCPT1A #1,0.013297376,MP65
3,6,siCPT1A #1,0.014935037,MP65
3,8,siCPT1A #1,0.018367318,MP65
3,10,siCPT1A #1,0.02105076,MP65
3,12,siCPT1A #1,0.024193024,MP65
3,14,siCPT1A #1,0.026801269,MP65
3,16,siCPT1A #1,0.028914832,MP65
3,18,siCPT1A #1,0.030886381,MP65
3,20,siCPT1A #1,0.032273411,MP65
3,22,siCPT1A #1,0.033758838,MP65
3,24,siCPT1A #1,0.03498105,MP65
3,26,siCPT1A #1,0.035396179,MP65
3,28,siCPT1A #1,0.036527749,MP65
3,30,siCPT1A #1,0.037799926,MP65
3,32,siCPT1A #1,0.038449895,MP65
3,34,siCPT1A #1,0.039758432,MP65
3,36,siCPT1A #1,0.041028118,MP65
3,38,siCPT1A #1,0.042941999,MP65
3,40,siCPT1A #1,0.044083763,MP65
3,42,siCPT1A #1,0.044930489,MP65
3,44,siCPT1A #1,0.046297627,MP65
3,46,siCPT1A #1,0.048398542,MP65
3,48,siCPT1A #1,0.049712994,MP65
3,50,siCPT1A #1,0.051034638,MP65
3,52,siCPT1A #1,0.053107281,MP65
3,54,siCPT1A #1,0.054740035,MP65
3,56,siCPT1A #1,0.056837871,MP65
3,58,siCPT1A #1,0.058530518,MP65
3,60,siCPT1A #1,0.06004515,MP65
3,62,siCPT1A #1,0.061228486,MP65
3,64,siCPT1A #1,0.06224137,MP65
3,66,siCPT1A #1,0.064287977,MP65
3,68,siCPT1A #1,0.065493977,MP65
3,70,siCPT1A #1,0.067001671,MP65
3,72,siCPT1A #1,0.067774618,MP65
3,0,siCPT1A #2,0.013018371,MP65
3,2,siCPT1A #2,0.012801697,MP65
3,4,siCPT1A #2,0.013502871,MP65
